         ps   /tdc_tb/tdc/dm_inst/out_mod      
             /tdc_tb/tdc/dm_inst/out_signal    
  152585000                             1 1 
  152685000                             1 0 
  152785000                             1 1 
  152885000                             1 0 
  152985000                             1 1 
  153085000                             1 0 
  153185000                             1 1 
  153285000                             1 0 
  153385000                             1 1 
  153485000                             1 0 
  153585000                             1 1 
  153685000                             1 0 
  153785000                             1 1 
  153885000                             1 0 
  153985000                             1 1 
  154085000                             1 0 
  154185000                             1 1 
  154285000                             1 0 
  154385000                             1 1 
  154485000                             1 0 
  154585000                             1 1 
  154685000                             1 0 
  154785000                             1 1 
  154885000                             1 0 
  154985000                             1 1 
  155085000                             1 0 
  155185000                             1 1 
  155285000                             1 0 
  155385000                             1 1 
  155485000                             1 0 
  155585000                             1 1 
  155685000                             1 0 
  155785000                             1 1 
  155885000                             1 0 
  155985000                             1 1 
  156085000                             1 0 
  156185000                             1 1 
  156285000                             1 0 
  156385000                             1 1 
  156485000                             1 0 
  156585000                             1 1 
  156685000                             1 0 
  156785000                             1 1 
  156885000                             1 0 
  156985000                             1 1 
  157085000                             1 0 
  157185000                             1 1 
  157285000                             1 0 
  157385000                             1 1 
  157485000                             1 0 
  157585000                             1 1 
  157685000                             1 0 
  157785000                             1 1 
  157885000                             1 0 
  157985000                             1 1 
  158085000                             1 0 
  158185000                             1 1 
  158285000                             1 0 
  158385000                             1 1 
  158485000                             1 0 
  158585000                             1 1 
  158685000                             1 0 
  158785000                             1 1 
  158885000                             1 0 
  158985000                             1 1 
  159085000                             1 0 
  159185000                             1 1 
  159285000                             1 0 
  159385000                             1 1 
  159485000                             1 0 
  159585000                             1 1 
  159685000                             1 0 
  159785000                             1 1 
  159885000                             1 0 
  159985000                             1 1 
  160085000                             1 0 
  160185000                             1 1 
  160285000                             1 0 
  160385000                             1 1 
  160485000                             1 0 
  160585000                             1 1 
  160685000                             1 0 
  160785000                             1 1 
  160885000                             1 0 
  160985000                             1 1 
  161085000                             1 0 
  161185000                             1 1 
  161285000                             1 0 
  161385000                             1 1 
  161485000                             1 0 
  161585000                             1 1 
  161685000                             1 0 
  161785000                             1 1 
  161885000                             1 0 
  161985000                             1 1 
  162085000                             1 0 
  162185000                             1 1 
  162285000                             1 0 
  162385000                             1 1 
  162485000                             1 0 
  162585000                             1 1 
  162685000                             1 0 
  162785000                             1 1 
  162885000                             1 0 
  162985000                             1 1 
  163085000                             1 0 
  163185000                             1 1 
  163285000                             1 0 
  163385000                             1 1 
  163485000                             1 0 
  163585000                             1 1 
  163685000                             1 0 
  163785000                             1 1 
  163885000                             1 0 
  163985000                             1 1 
  164085000                             1 0 
  164185000                             1 1 
  164285000                             1 0 
  164385000                             1 1 
  164485000                             1 0 
  164585000                             1 1 
  164685000                             1 0 
  164785000                             1 1 
  164885000                             1 0 
  164985000                             1 1 
  165085000                             1 0 
  165185000                             1 1 
  165285000                             1 0 
  165385000                             1 1 
  165485000                             1 0 
  165585000                             1 1 
  165685000                             1 0 
  165785000                             1 1 
  165885000                             1 0 
  165985000                             1 1 
  166085000                             1 0 
  166185000                             1 1 
  166285000                             1 0 
  166385000                             1 1 
  166485000                             1 0 
  166585000                             1 1 
  166685000                             1 0 
  166785000                             1 1 
  166885000                             1 0 
  166985000                             1 1 
  167085000                             1 0 
  167185000                             1 1 
  167285000                             1 0 
  167385000                             1 1 
  167485000                             1 0 
  167585000                             1 1 
  167685000                             1 0 
  167785000                             1 1 
  167885000                             1 0 
  167985000                             1 1 
  168085000                             1 0 
  168185000                             1 1 
  168285000                             1 0 
  168385000                             1 1 
  168485000                             1 0 
  168585000                             1 1 
  168685000                             1 0 
  168785000                             1 1 
  168885000                             1 0 
  168985000                             1 1 
  169085000                             1 0 
  169185000                             1 1 
  169285000                             1 0 
  169385000                             1 1 
  169485000                             1 0 
  169585000                             1 1 
  169685000                             1 0 
  169785000                             1 1 
  169885000                             1 0 
  169985000                             1 1 
  170085000                             1 0 
  170185000                             1 1 
  170285000                             1 0 
  170385000                             1 1 
  170485000                             1 0 
  170585000                             1 1 
  170685000                             1 0 
  170785000                             1 1 
  170885000                             1 0 
  170985000                             1 1 
  171085000                             1 0 
  171185000                             1 1 
  171285000                             1 0 
  171385000                             1 1 
  171485000                             1 0 
  171585000                             1 1 
  171685000                             1 0 
  171785000                             1 1 
  171885000                             1 0 
  171985000                             1 1 
  172085000                             1 0 
  172185000                             1 1 
  172285000                             1 0 
  172385000                             1 1 
  172485000                             1 0 
  172585000                             1 1 
  172685000                             1 0 
  172785000                             1 1 
  172885000                             1 0 
  172985000                             1 1 
  173085000                             1 0 
  173185000                             1 1 
  173285000                             1 0 
  173385000                             1 1 
  173485000                             1 0 
  173585000                             1 1 
  173685000                             1 0 
